spec0288  8.3268e-24
spec0289  8.0890e-24
spec0290  7.8596e-24
spec0291  7.6374e-24
spec0292  7.4213e-24
spec0293  7.2105e-24
spec0294  7.0044e-24
spec0295  6.8025e-24
spec0296  6.6047e-24
spec0297  6.4108e-24
spec0298  6.2209e-24
spec0299  6.0350e-24
spec0300  5.8531e-24
spec0301  5.6756e-24
spec0302  5.5023e-24
spec0303  5.3335e-24
spec0304  5.1691e-24
spec0305  5.0093e-24
spec0306  4.8539e-24
spec0307  4.7029e-24
spec0308  4.5564e-24
spec0309  4.4143e-24
spec0310  4.2765e-24
spec0311  4.1428e-24
spec0312  4.0134e-24
spec0313  3.8879e-24
spec0314  3.7664e-24
spec0315  3.6488e-24
spec0316  3.5348e-24
spec0317  3.4245e-24
spec0318  3.3176e-24
spec0319  3.2142e-24
spec0320  3.1141e-24
spec0321  3.0171e-24
spec0322  2.9232e-24
spec0323  2.8324e-24
spec0324  2.7444e-24
spec0325  2.6593e-24
spec0326  2.5769e-24
spec0327  2.4972e-24
spec0328  2.4200e-24
spec0329  2.3453e-24
spec0330  2.2731e-24
spec0331  2.2031e-24
spec0332  2.1354e-24
spec0333  2.0699e-24
spec0334  2.0065e-24
spec0335  1.9451e-24
spec0336  1.8857e-24
spec0337  1.8282e-24
spec0338  1.7725e-24
spec0339  1.7185e-24
spec0340  1.6663e-24
spec0341  1.6157e-24
spec0342  1.5667e-24
spec0343  1.5193e-24
spec0344  1.4733e-24
spec0345  1.4288e-24
spec0346  1.3857e-24
spec0347  1.3439e-24
spec0348  1.3034e-24
spec0349  1.2642e-24
spec0350  1.2262e-24
spec0351  1.1894e-24
spec0352  1.1537e-24
spec0353  1.1192e-24
spec0354  1.0857e-24
spec0355  1.0532e-24
spec0356  1.0217e-24
spec0357  9.9123e-25
spec0358  9.6168e-25
spec0359  9.3303e-25
spec0360  9.0527e-25
spec0361  4.5224e-25
spec0362  4.3852e-25
spec0363  4.2523e-25
spec0364  4.1236e-25
spec0365  3.9989e-25
spec0366  3.8782e-25
spec0367  3.7612e-25
spec0368  3.6480e-25
spec0369  3.5382e-25
spec0370  3.4320e-25
spec0371  3.3287e-25
spec0372  3.2256e-25
spec0373  3.1259e-25
spec0374  3.0294e-25
spec0375  2.9361e-25
spec0376  2.8457e-25
spec0377  2.7582e-25
spec0378  2.6736e-25
spec0379  2.5916e-25
spec0380  2.5123e-25
spec0381  2.4354e-25
spec0382  2.3611e-25
spec0383  2.2890e-25
spec0384  2.2193e-25
spec0385  2.1517e-25
spec0386  2.0862e-25
spec0387  2.0228e-25
spec0388  1.9614e-25
spec0389  1.9019e-25
spec0390  1.8442e-25
spec0391  1.7883e-25
spec0392  1.7341e-25
spec0393  1.6816e-25
spec0394  1.6308e-25
spec0395  1.5814e-25
spec0396  1.5336e-25
spec0397  1.4873e-25
spec0398  1.4423e-25
spec0399  1.3988e-25
spec0400  1.3565e-25
spec0401  1.3155e-25
spec0402  8.1643e-26
spec0403  7.9173e-26
spec0404  7.6778e-26
spec0405  7.4458e-26
spec0406  7.2209e-26
spec0407  7.0030e-26
spec0408  6.7918e-26
spec0409  6.5872e-26
spec0410  6.3891e-26
spec0411  6.1971e-26
spec0412  6.0111e-26
spec0413  5.8309e-26
spec0414  5.6565e-26
spec0415  5.4875e-26
spec0416  5.3238e-26
spec0417  5.1654e-26
spec0418  5.0120e-26
spec0419  4.8635e-26
spec0420  4.7196e-26
spec0421  4.5804e-26
spec0422  4.4456e-26
spec0423  4.3151e-26
spec0424  4.1887e-26
spec0425  4.0662e-26
spec0426  3.9477e-26
spec0427  3.8328e-26
spec0428  3.7215e-26
